Hugo_Symbol,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
IRGQ,4.0,2522.0,906.0,2901.83,1524.0,776.93,769.0,1548.0,1120.0,1847.0,1154.0,748.8,1211.0,2300.0,652.0,439.0,571.0,1926.0,1459.0,1563.0,1825.0,1000.0,1812.0,991.0,1381.0,2292.0
PRSS46,0.0,4.0,0.0,8.0,0.0,4.0,0.0,5.0,1.0,1.0,3.0,7.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
AC136604.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-481A20.11,0.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,30.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
SYCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIX1,0.0,22.0,12.0,11.0,11.0,3.0,4.0,4.0,0.0,13.0,2.0,2.0,17.0,7.0,2.0,8.0,6.0,11.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,9.0
HK2,0.0,5058.98,2167.98,16554.89,2601.98,2420.99,2075.97,7949.94,4259.91,19571.49,1394.0,1981.93,2214.98,18347.69,5758.84,2249.94,2028.0,5342.95,3929.93,3474.0,10204.84,8281.99,7041.97,5035.93,6272.96,3748.0
MAS1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
LRIT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MYF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAL1,0.0,229.65,256.65,775.06,54.27,156.78,96.32,138.7,49.98,47.0,238.96,21.0,67.6,28.0,78.63,179.16,595.34,901.08,1422.06,514.89,429.91,650.01,2198.05,300.95,487.92,1374.14
CNTNAP2,0.0,100.0,110.0,50.0,15.0,42.0,107.0,13.0,4.0,5.0,88.0,3.0,14.0,10.0,10.0,10.0,11.0,40.0,25.0,49.0,18.0,27.0,92.0,76.0,11.0,79.0
COX7B,1.0,5607.0,5463.0,5810.0,6547.0,8645.0,2629.0,2852.0,919.0,4234.0,10628.0,3794.0,5053.0,2582.0,7858.0,3428.0,6065.0,3375.0,2068.0,2031.0,2802.0,5494.0,3205.0,2103.0,7085.0,3254.0
RP1-139D8.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPXN,0.0,3051.0,1342.0,4840.0,621.0,2738.0,1758.0,2415.0,671.0,3000.0,1537.0,716.0,1084.0,1443.0,1330.0,1582.0,2267.0,3079.0,1681.0,2413.0,4873.0,4112.0,4377.0,3009.0,6708.0,1953.0
NPBWR1,0.0,4.0,31.0,2.0,2.0,1.0,3.0,169.0,47.0,47.0,5.0,0.0,1.0,37.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0
GABPB1,0.0,2345.0,1459.0,1605.0,2336.0,1142.0,623.0,2155.0,1224.0,1123.0,1587.0,806.0,1045.0,1228.0,1993.0,468.0,998.0,1191.0,802.0,677.0,1285.0,873.0,1454.0,625.0,1008.0,1136.0
CYBRD1,0.0,12152.0,28863.0,22421.0,13590.0,8948.0,9342.0,5327.0,1992.0,3473.0,18860.0,1450.0,15408.0,2539.0,11235.0,8514.0,13682.0,20393.01,23138.0,20597.0,13352.0,36030.0,28102.0,12898.0,19728.0,35305.0
AMPD3,1.0,3593.0,1750.0,2254.0,1106.0,1355.0,936.0,5458.0,1893.0,2666.0,1609.0,576.0,1793.0,1739.0,1609.0,1139.0,364.0,480.0,463.0,583.0,603.0,540.0,950.0,1100.0,701.0,778.0
KAT2B,0.0,2447.0,1268.0,2908.0,1474.0,1820.0,1066.0,1298.0,571.0,1387.0,1764.0,677.0,1177.0,1007.0,915.0,781.0,1586.0,2201.0,2576.0,1967.0,1670.0,2300.0,3406.0,1456.0,2409.0,3311.0
SYNRG,1.0,6433.0,2553.0,4813.0,2841.0,2576.0,1814.0,3990.0,1878.0,5016.0,3184.0,1044.0,2521.0,3916.0,1546.0,1090.0,1003.0,3182.0,2199.0,2845.0,2700.0,2145.0,4780.0,2781.0,2045.0,3417.0
VPS37B,1.0,7665.83,2571.0,5740.32,1558.18,1758.79,1321.0,4467.0,1362.0,4299.77,5362.0,1469.0,2771.0,2596.68,4745.98,1584.0,2695.0,8959.0,8311.0,3358.0,6576.0,4854.35,7846.0,2676.0,6219.85,5099.0
TMEM132C,0.0,1.0,31.0,10.0,0.0,3.0,111.0,2.0,0.0,0.0,36.0,0.0,0.0,3.0,9.0,29.0,41.0,38.0,138.0,52.0,144.0,57.0,409.0,147.0,70.0,142.0
AL355531.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM10,0.0,17.0,13.0,1.0,9.0,3.0,6.0,36.0,13.0,12.0,0.0,3.0,24.0,6.0,16.0,0.0,5.0,0.0,3.0,6.0,3.0,2.0,5.0,3.0,0.0,1.0
OXCT2,0.0,37.62,107.78,29.93,11.45,39.86,143.03,26.13,7.13,15.54,21.23,22.94,23.79,15.25,11.6,4.97,45.82,42.58,48.55,21.8,15.74,15.06,48.09,24.01,7.05,37.35
THRB,7.0,388.0,639.0,1030.0,403.0,462.0,225.0,289.0,128.0,827.0,974.0,9.0,390.0,595.0,2032.0,287.0,644.0,846.0,927.0,837.0,711.0,1092.0,1699.0,675.0,663.0,1295.0
AC006014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM106C,1.0,5788.0,3858.0,3969.0,2978.0,4214.0,1876.0,4269.0,1393.0,4597.0,15889.0,4513.0,3471.0,2600.0,4824.0,1304.0,3455.0,2270.0,1825.0,2307.0,1723.0,2878.0,1849.0,1510.0,2513.0,2685.0
PPP1R15A,0.0,8967.0,2854.0,12323.0,874.0,3420.0,2120.0,9168.0,2684.0,4388.0,3940.0,1581.0,2351.0,2760.0,2585.0,2576.0,6967.0,13624.0,37146.0,9892.0,13283.0,12039.0,16850.0,9351.0,21088.0,23395.0
RRS1,0.0,2548.0,973.0,1702.0,246.0,410.0,336.0,2231.0,782.0,841.0,1537.0,650.0,766.0,565.0,5419.0,279.0,574.0,1135.0,442.0,655.0,1648.0,813.0,1199.0,632.0,937.0,902.0
AK8,0.0,191.0,110.0,146.0,96.0,93.0,76.0,155.0,58.48,44.0,365.5,53.0,102.0,28.0,33.0,156.0,60.0,97.0,57.0,114.0,70.0,398.0,323.0,182.71,477.79,263.0
EPB41L3,0.0,2712.0,1676.0,7594.0,1521.0,1241.0,893.0,4172.0,1738.0,3908.0,985.0,378.0,1686.0,3038.0,1840.0,1728.0,1641.0,4215.0,3442.0,3137.0,5511.0,2778.0,5113.0,1688.0,2715.0,3056.0
ATG16L2,0.0,3132.44,258.63,2235.91,594.73,931.32,1237.3,885.63,292.0,1060.07,699.07,157.9,1070.28,698.71,1149.42,206.52,271.6,923.32,829.74,599.71,926.21,905.19,1342.55,677.83,1749.9,683.03
HPGD,0.0,5708.0,36898.0,1904.0,20587.0,3363.0,1991.0,413.0,183.0,22060.0,8359.0,13420.0,14632.0,17410.0,772.0,1726.0,20781.0,1995.0,7732.0,4562.0,4269.0,8928.0,14777.0,3732.0,9695.0,14928.0
LYAR,1.0,1657.0,594.0,1534.0,490.0,543.0,366.0,2564.0,880.0,1582.0,1133.0,476.0,690.0,1035.0,2619.0,249.0,645.0,1012.0,593.0,578.0,1444.0,1055.0,1293.0,479.0,1470.0,873.0
