Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
AL590867.1,0,2,0,3,6,0,0,3,3,3,2,1,4,7,0,0,0,1,1,4,1,0,0,1,0,0
PRR14L,1,3090,1199,3661,3582,1238,1272,3373,2579,2607,2154,524,2093,3385,3246,545,523,2244,1330,1791,2342,1243,3240,1342,1581,2669
HIST3H2A,0,52,183,54,47,59,48,216,277,79,9,476,255,714,8,14,60,26,18,8,20,70,56,18,69,29
ZNF236,0,1239,281,1007,734,286,268,588,426,475,702,92,370,625,722,127,194,658,519,550,529,427,906,384,330,847
TPRX1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDRG1,0,40070,24827,21559,25272,10676,12731,91087,33080,67972,15803,21996,45568,42532,14808,6839,11963,26433,23599,21098,23075,22649,33637,16535,15055,31602
CACNA1C,0,855.04,886.99,1248.71,513.82,225.65,292.55,505.83,267.57,281,275.73,41,611.49,303.9,162.87,83,408.99,995,664.46,874,527,357,1077.69,245.93,232,1401
CCDC149,0,1570,1276,2393,922,754,550,1547,604,1835,2214,686,1335,1132,1085,398,493,1285,1011,1029,1194,1085,1537,565,926,1673
DAGLB,0,3902,1915.95,3338,719,1729,1067,1310,500,2291,2534,650,967,1721,2150,463.99,943,1924,1374,1572,2258,1773,2028,1130,1770,1931
BMP3,0,9287,602,1018,1310,1244,1548,667,341,4934,454,364,800,5561,128,528,351,1324,682,1089,434,994,720,1112,1155,2443
MITD1,0,1512.35,616,1088.82,985,989,634,1252.35,494,769,1272,470,874,595,1423,475,486,516,348,408,388,600,497.27,427,669,553
RP11-1085N6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCM2,0,6291,2259,2602,1672,888,1396,8335,3406,6334,1785,1598,1739,4699,9445,340,730,892,571,776,1249,740,1224,1538,647,1202
SCNN1B,0,237,4162,7716,900,2092,1332,468,126,113,5632,890,2679,49,460,1401,2924,11885,5740,7051,6170,5609,9081,2936,4084,8878
IKZF4,0,1645,434,2057,169,537,387,904,69,609,878,211,852,87,696,285,288,783,1123,679,941,874,1185,581,917,951
AC104472.1,0,0,0,8,15,1,2,3,1,0,3,4,7,5,0,0,0,2,3,1,0,0,1,2,2,1
TGIF2LY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERVFRD-1,0,19,3,35,19,64,15,2,13,18,11,2,10,24,10,13,19,68,106,65,16,169,86,35,44,232
RP11-500M8.7,0,373.72,522.78,531.81,0,329.79,144.61,891.42,0,409.14,394.25,282.74,350.39,0,290.35,169.22,460.55,367.57,272.92,250.02,422.08,376.16,413.27,282.17,473.82,451.65
GYS1,0,6895,2247,6089,742,2062,2007,5687,1326,4786,2585,921,1880,1760,4061,981,1205,3650,2718,2413,2942,2425,3832,2338,2513,3408
TAAR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL035588.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTROB,0,3055,1301,6003,438,881,1222,2429,616,1931,3253,644,1088,998,2060,1062,848,5442,2690,2006,3599,2337,3964,1692,2519,3084
HMGB2,40,9525,3362,4469,1707,2461,3022,7288,2292,8616,3082,2662,2556,4537,14316,1707,1899,2374,1992,1827,2104,3580,3922,3914,2612,3342
SDE2,6,2545,1958,4157,3229,1455,1133,4076,1789,2176,3849,1674,2390,2139,4401,954,1761,1986,1722,1267,2229,2919,3287,1045,2693,2742
NPAS1,0,46,29,45,0,17,45,7,1,44,109,33,12,25,86,13,32,37,37,18,43,33,59,35,48,73
CPNE7,0,157,190,266,394,262,223,307,113,797,180,400,827,554,951,14,29,73,17,112,67,29,64,70,27,23
RPS16,3,48376.99,45641,47741,482.93,66722,25965.98,35678.99,10160.54,91435,52309,92411.99,35851.05,27989.99,55072,21926,38381.99,33213.99,20901,21890,26766.99,58981,28679,26522.99,53296,34306
RYR1,0,150,722,297,48,1154,754,306,98,194,131,949,54,110,82,87,294,481,406,488,1273,1169,1081,317,998,569
USP17L2,0,1.28,1,1.44,3,0,0,1,6,0,0,0,0,6.48,1,0,0,0,0,0,0,1,1.54,0,1,0
ZNF25,0,1074,999,1253,1861,786,399,755,343,635,1066,251,1203,557,1050,397,856,900,688,664,589,1138,1335,497,1058,1361
MAP3K2,6,5360,3989,6330,8578,3394,2329,7830,5517,3603,5132,1400,3613,5437,6461,1583,2485,3009,2226,2433,3798,2893,4890,1848,4176,3457
GNRH1,0,85,16,71,96,63,26,22,14,23,35,4,54,36,15,7,13,34,34,42,38,13,32,30,36,29
C3orf33,0,433,419,618,389,490,157,273,82,369,1331,503,320,206,412,199,318,347,187,222,248,473,286,222,411,401
IL27,0,24,7,43,1,12,6,24,3,24,5,5,4,17,54,23,22,22,17,5,65,21,27,15,52,12
ATR,1,3109,1205,2709,4314,1127,805,4980,3551,2855,2166,390,1423,4298,2739,365,462,1149,764,929,1142,729,1776,859,963,1282
GIPR,0,401,26,469,60,302,159,40,13,257,73,26,257,102,63,20,32,71,46,61,94,64,102,57,135,86
FAM117B,0,1322,742,1286,498,601,687,1233,480,841,2839,267,569,510,557,307,438,706,664,631,470,819,1268,638,588,1488
HOXB8,0,59,39,36,5,13,24,79,7,14,11,1,31,0,6,3,27,12,6,20,3,11,82,9,2,49
TSPY6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15orf56,0,188,26,89,19,48,30,58,15,26,68,19,37,18,40,19,31,51,20,25,50,72,57,32,24,54
FBP2,0,2,0,2,0,9,15,0,0,1,4,3,0,0,1,2,4,2,5,25,10,50.72,16,24,12,20
CD70,5,96,62,39,26,86,44,414,143,13,29,160,34,10,1654,5,56,10,20,24,30,7,37,48,31,31
AL121761.2,0,8.47,4.83,14.83,0,0,2.51,8.29,8.11,4.35,6,0,11.42,2,7.84,0,1.24,4.3,11,2,3.42,10.61,11.67,1.36,1.45,8.67
SAPCD1,0,108.64,9.15,89.14,19.1,84.72,34.56,36.95,3.02,62.8,54.31,26.81,55.34,43.99,127.4,1.68,26.5,12.64,26.37,14.22,33.07,15.43,16.47,37.9,34.77,28.23
PCSK5,0,826,1412,2188,1799,651,576,1233,602,476,670,107,1480,507,299,491,992,2159,1306,1757,1617,853,2574,476,792,1526
TOR3A,0,8433,3955,4612,2478,4751,2710,6680,2019,5236,9549,3637,4014,2904,7294,1694,2806,2521,1725,2209,2795,3142,3244,2173,3777,3086
PRSS23,2,20702.49,39013.75,9851.9,22430.35,5537.41,2794.36,15346.36,5518.27,8596.6,10289.55,12169.1,22350.56,5672.96,13534.44,2204.39,6634.96,13913.31,5684.71,8772.93,7129.08,7653.47,18868.32,3537.06,5434.21,16674.51
CTBP1,22,13996.44,6885.27,11765.47,1900.7,4470.38,5125.51,11756.18,4283.56,8878.7,12247.47,2340.56,5029.15,6039.02,5945.53,2269.81,4556,8562.91,6351.87,5549.63,7466.99,7333.56,9507.5,5542.36,6861.65,9576.06
SAMD7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
AC096582.1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD34A,0,243,95,115,3,147,72,73,8,86,46,77,45,29,244,7,38,44,25,43,35,26,55,43,32,83
GBGT1,0,1057,1154.88,1867.18,540,691.8,408.16,743.04,291,822.4,1073.29,496,1036,529.57,494,405,808,862,581,675.8,1051.92,1651.2,925.72,609,1390.25,599
C13orf45,0,8,1,9,3,37,4,0,0,3,15,2,2,0,1,7,39,8,6,24,4,2,11,7,13,9
G0S2,0,2618,773,1916,1693,331,354,48333,17740,14460,615,939,2941,12186,8966,369,2557,287,2492,641,1400,964,634,1136,1227,3851
ADAM11,0,34,24,37,4,20,24,22,12,13,5,10,13,7,281,2,7,19,10,8,4,8,29,6,7,17
RP11-451M19.3,0,3,8,6,22,9,7,5,3,3,8,1,11,5,12,8,19,6,12,10,4,11,18,3,12,15
APBB1IP,0,2153,817,2823,477,1672,1238,1235,342,2775,767,375,806,1519,701,733,1076,1829,1601,1313,2300,1819,2852,2296,1800,1213
OR51A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYSMD4,0,459.37,296.58,445.85,205,354.86,139,297.88,115,375,285.78,107.33,237.72,292,167.39,130.7,339.06,406,351.07,378.32,492.64,405.23,610.43,220.36,427.73,657.76
C1orf186,0,355.27,153,192.77,125.72,477.47,153.64,318.88,131.3,209.48,135.39,71.6,167.09,158.27,1433.82,77,277,220.92,382,272,121,556,295.93,237,89,391
LENG9,0,361.49,404.03,487.26,121.76,208.87,157.44,228.42,93.41,162.4,215.69,86.38,320.82,131.56,194.23,77.62,206.89,288.19,404.79,305.02,345.95,348.66,425.82,180.57,344.07,512.12
MYBPHL,0,50,1,178,21,259,106,1,2,90,227,105,28,43,38,44,104,96,130,51,145,247,69,137,169,111
GRIA4,0,5,15,4,298,1,0,43,20,13,12,50,150,15,1,0,4,3,5,4,3,2,17,13,2,8
MIF4GD,0,2955.28,1566.1,2129.78,405.86,1962.41,1073.27,1795.3,391.35,1378.58,2651.72,1881.01,1160.45,550.33,3112.68,856.16,1695.91,1916.52,1410,1617.42,1687.43,2201.35,2372.16,1397.26,2337.17,1858.36
SLC6A7,0,17,7,7,9,3,14,21,6,8,9,2,19,2,11,0,0,2,5,9,6,6,2,8,1,1
COX11,0,4134.26,2178.26,3633.48,2008.42,3554.72,1486.2,2701.53,954.5,2168.99,4831.62,2624.1,1964.33,1768.47,3234.13,1229.18,1877.28,2266.38,1521.73,1524.69,1715.57,3150.7,2362.79,1346.39,2466.37,2771.21
SLC22A5,0,941,500,1772,410,791,316,486,199,1036,1251,328,643,616,580,263,442,654,451,563,857,730,952,470,856,909
EIF3CL,55,16068.21,14204.45,16280.65,12214.08,2515.7,5757.97,12786.43,9679.6,11184.73,16442.4,5061.2,19552.94,10032.87,26704.67,4590.45,5478.99,16471.86,5448.22,6881.85,10506.26,12632.8,10399.4,8862.11,9833.93,13496.74
ACACA,0,9690,2663,17576,2697,2285,1165,3929,2095,11172,5175,1631,1697,10949,5841,2192,1602,6378,4807,3553,6215,4570,6912,3439,4183,5413
HLA-DOB,0,2009.6,406.11,557.02,396,2442.27,1317.81,260.83,82.89,153.99,1715.63,214.21,649.95,70.49,759.07,300.7,290.82,313.38,234,429.39,280.82,353.26,556.98,1334.54,207.55,376.59
ADCY8,0,0,2,5,4,36,10,0,0,779,24,1,2,593,2,74,47,162,449,140,24,22,114,120,13,498
TAP2,0,11768.63,4884.45,9102.37,2701,2642.3,2827.89,21335.67,5760.57,6243.73,4657.57,1592.93,3831.94,3315.18,16433.19,2231.03,2960.85,4005.33,4685.43,3279.46,4331.79,3223.14,8287,3020.73,4556.54,6131.96
TAS2R1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
DEFA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
IGF2BP2,0,2879,665,1186,427,218,375,7261.99,1860.99,2671.97,166,636,842.94,1245,4492.99,164,316,542,744.99,588.97,745.99,549,1405.95,293,712,1104.96
AC007390.5,17,4514.62,1050.74,2876.89,807.85,3211.71,980.49,1682.34,444.3,2932.62,3463.37,3770.1,1616.2,1210.1,4395.15,1054.89,1425.54,1692.24,1132.34,1214.12,1305.83,2035.68,1891.39,1173.37,2577.8,2101.12
RAD52,0,354.37,136.19,370.23,388.87,334.18,200,280.21,108,211.24,413.2,156,402,176,426.25,83.12,105,253.03,112,218.24,125.33,164,266.26,172,159,384.25
AC013449.1,0,2,0,0,3.02,2.01,1,1,0,0,1,0,2,3.02,2,0,0,1,1,0,1,1,0,2,1,1
CHRNE,0,136.88,176.42,96.87,35.67,51.61,136.79,94.48,40.4,145.36,41.57,55.69,97.64,84.86,47.58,17.38,49.68,85.09,168.7,36.06,159.49,63.79,108.22,97.71,90.34,59.13
RAMP1,0,1175,4434,744,568,1226,1478,3000,1074,1726,635,650,1564,1221,4647,78,1330,301,345,495,424,1141,530,623,767,487
WDFY2,0,801,544,1546,187,518,356,1292,521,523,655,255,551,350,743,218,334,707,497,581,803,492,1097,454,798,609
STX19,0,108,26,217,139,200,46,19,9,51,267,14,63,30,23,73,81,94,126,110,53,143,129,121,88,186
AL669831.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARS,0,8544.71,3615.21,5201.73,2354.92,2027.52,1850.35,5004.31,1817.03,5363.47,5390.35,1247.34,3566.9,3355.13,4123.08,1153.42,1887.49,3130.27,2152.84,2249.06,2972.23,2834.45,3484.7,2063.3,2723.89,3714.14
SYS1,0,4065.57,4627.56,5251.99,1093.08,3620.95,2163.06,3446.3,1078.95,3970.01,6565.69,1848.8,2207.07,2054.43,4428.5,2027.46,3225.72,3899.84,2859.58,2797.67,3637.03,5901.06,3778.79,2705.46,5353.41,3998.41
ZFPM2,0,720.22,1226,483,591,261,184,463,114,241,310,62,799,181,170,123,650,644,765,684,280,380,1024,280,176,1007
CMTM4,0,2574,2353,6228,3218,1302,947,6306,3262,4655,6293,1487,3012,4294,1198,1076,1110,4295,3430,3894,4007,2388,5151,2242,2485,5769
CLDN17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD300LD,0,12,0,7,2,1,0,4,2,2,0,0,7,2,0,0,0,1,4,1,3,0,4,0,1,2
CD80,0,382.99,130.11,384.89,529.75,295.28,83.03,474,259.43,154.27,112.66,225.81,243.99,156.53,258.31,126.18,166.31,148.86,137.76,97.67,132.3,119.52,253.34,165.73,160.04,154.41
GORASP2,0,14134,9216,11931,2344,7843,7303,23912,4110,7387,15470,6486,10085,2071,8975,2559,4243,6767.99,3948,4545,6933,5909,7682,3898,5534,6311
C2orf43,0,2395,601,1475,784,1093,409,989,348,1089,908,968,702,793,822,559,465,915,462,643,565,713,895,719,774,988
STK10,0,5368,2689,6719,1412,2041,2590,7006,2721,5889,2047,841,2068,4514,2768,1234,2207,4655,3858,3965,5040,3741,6659,4370,4231,5049
MAGEB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD51B,0,443,348,272,390,320,188,319,142,190,528,127,201,298,368,118,216,249,135,142,199,333,269,161,318,305
ZNF268,1,1220,1080,1802,2247,668.82,424,1172,750,1818,3316,226.53,1058,2034,974.34,473,698,1015,603,855,729,1059,1380,677,978,1738
BOP1,0,4243.56,2242,2659.99,561,788.15,1049.1,7178,2259.22,2585,2092.55,2410.17,1463.29,1521.15,14461.62,266.1,996.75,1464.34,1116,944,1489,1050.06,1410,1118.17,946.32,1722
FYCO1,1,5881,3227,8384,3623,2052,1373,1921,1119,3865,5454,923,3231,3706,3583,999,1932,4031,4170,4855,4098,3545,8743,2690,3059,7942
CLEC6A,0,82,16,11,32,79,8,230,104,8,4,15,24,2,18,4,207,12,17,12,87,160,102,5,242,3
GRB7,0,5204,614,2303,447,1082,388,2160,649,1542,3403,783,1172,759,3883,237,264,1265,1119,1266,957,739,1032,917,669,2012
SRSF5,3,14832,5650,16808,3882,8723.04,6023,12663,4547,5730,13963,1905,7731,3462,8329,3962,3893,9445,7315,5602,7538,10713,10804,6490,10668,10245
B4GALNT2,0,1,263,13,69,3,6,26,18,0,39,7,28,0,190,2,2,15,17,29,0,17,20,9,7,109
ILK,0,12934.87,13701.22,10385.6,6138.58,7729.58,4079.89,10992.37,3799.22,5395.76,11472.39,3325.84,8914.41,3459.16,12620.59,3094.38,10170.6,10117.56,8718.36,8874.87,8310.46,9610.96,10792.8,4972.06,9478.21,11614.02
PTGES3L-AARSD1,0,54.86,4.95,17.59,0,24.73,0.27,20.09,14.37,36.46,3.28,59.6,6.52,2.74,21.51,13.11,40.36,15.46,11.94,0,0,3.69,34.49,1.07,33.95,7.43
ETF1,0,15143,7670,14695.99,6367.33,6272,3823,12225,4836.89,11638,11386,3222,6461,8740.67,9890,3869,6410,9981.01,9440,7964,12229,8805,12639,5219,10959,11423
OTOG,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SLC25A25,0,3205.13,1249.31,4661.12,649.54,619.69,576.06,1548.17,453.53,2000.21,1844.32,542.63,1030.38,1165.52,1521.19,838.79,2269.96,4529.18,14456.68,2058.85,3310.95,4438.36,5781.05,2439.21,6479.53,7471.01
TRH,0,3,2,6,2,1,0,1,0,1,0,1,0,1,14,1,12,9,1,1,5,9,30,2,32,6
THEM6,0,3432.71,1719,3049,401,1418,1642,1375,438,1123,2975,2222.79,1240,625,3095,473,1759,2346,1747,2196,1760,2852,2312,1612,2761.96,3089
STAC3,0,435,269,874.9,84,320,134,289,97,312,213.84,108,156.94,171,394.92,249,368,784.11,377,397,644,763,650,329,934.95,459
ZNF148,0,3508,3929,4338,6155,1920,1338,4435,3069,3192,4665,946,2339.98,4670,3100,1152,1940,2428,1537.98,1865,2127,2603,3642.97,1430,1990,3594
RP5-966M1.6,0,179.09,15.45,195.82,51.68,197.24,79.3,74.54,13.03,67.86,51.51,16.06,84.92,37.84,47.13,12.05,11.28,83.4,66.21,73.53,52.96,63.31,118.03,64.7,64.12,58.87
LSM14A,5,10153,5692,10447,2649,4344,3541,9220,3036,10399,5583,3859,4917,5654,11154,2560,3921,6685,4647,5127,5025,5823,8268,4115,5330,8793
NMD3,0,6045,5215,4679,6290,3768,1434,7494.99,3235,5765,4598,2937,4294,5059,4867,1509,2792,2139,1550,1694.97,2031,3147,2996,1382,3050,3378
FBXL12,0,1935,836,1756,433,870,596,1569,507,615,798,508,1187,372,2009,387,832,1125,980,852,1180,1392,1406,817,1440,1428
INF2,1,9259,5591,10203,974,3127,2191,18570,4504,6249,13427,1868,3905,3173,11513,1676,5529,9895,10495,9318,7413,7018,12144,5555,7481,13563
TNS4,1,142,1049,257,270,59,137,4056,532,559,423,1571,1153,141,849,17,22,58,26,40,41,163,125,82,351,193
MRPL22,0,1820,1065,1495,542,1373,786,1634,483,1508,2820,1488,1458,813,1809,672,1090,805,541,559,725,1178,820,562,1386,1012
PHC2,0,22476.4,12262.77,13891.68,3503.13,6907.25,5245,27392.69,4872,21145.69,11539,6261.94,9965,7678.42,11033.82,3565,7018,14688.39,10106.74,6014,14322.87,8660.87,15221.8,4611,8370.68,9539
ZBTB5,0,1246,1012,1665,499,753,646,1327,482,631,1081,405,761,370,1448,378,590,936,1435,1022,975,959,1346,840,869,1396
VAPB,0,4506,3215,5995,1785,2485,1601,3120,943,4719,5789,1308,2327,2269,4765,1505,2234,4153,3223,3430,3476,3495,4384,2191,3291,5473
KB-1507C5.2,0,339.19,122,60,78,73.05,69,100.02,37,69,258,256,45,40,60,47,45,37.02,25,28,27,64,78,41,106.04,82
MED13,1,8615,4488,8031,8966,3055,2483,8659,6282,5460,4792,2642,3681,7747,3982,1454,2251,4268,3175,3233,4984,3109,6723,2353,3639,5176
ZBTB20,0,53,26,38,1499.94,20,22,73,700,22,52,3,28,885.11,30,5,19,36,35,28,23,31,90,25,32,33
ZNF655,0,7423.88,2900,5689.43,4428.81,3106.64,2176.2,3652.53,1537.08,5056.42,4860.58,1849.05,3288.85,3866.76,4271.35,1288.73,2135.87,2938.24,2445.72,2358.69,3291.27,3230.48,3726.08,2128.37,4594.23,3443.41
TUSC5,0,0,7,1,0,3,4,2,0,1,1,0,1,0,4,0,0,1,2,5,1,10,4,2,6,2
TMEM72,0,3,1,6,11,11,12,1,3,1,18,1,3,2,1,5,4,21,2,7,4,19,18,56,3,13
USP26,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,1,2
HHLA1,0,0,1,5,6,4,1,0,0,2,0,1,2,1,7,2,0,0,0,0,0,1,4,0,0,1
ABCC1,0,6629,3760,8304,2534,2099,1890,9530,3014,12102,5911,950,3636,6994,4074,2297,1500,5779,4641,4631,4366,2936,7285,2894,3569,6981
CAPN8,0,3384,977,5236,2170,5596,1660,117,62,3190,9413,851,4621,2326,187,568,360,1083,516,762,1748,899,1512,702,1104,954
GART,0,8275.66,2871,4944.66,3029.27,2650.19,1972.69,5969,2566.87,7112.74,6422.8,2576,3424,5773.58,11893.9,1136,1640,2406.92,1463,1907.81,2664.82,1979,2746.49,1668,2356.98,2476
TMEM221,0,25,74,23,25,36,37,18,3,12,17,10,52,5,79,4,18,21,12,28,10,14,17,17.44,10,30
CFL1,1,138702.38,63727.57,87655.59,12095.56,38378.96,26256.47,123537.94,29385.7,68451.29,64639.29,24259.82,35786.3,28471.05,65176.62,20596,44169.68,53119.5,40680.57,32206,61461.77,47719.18,53501.37,36304.02,62760.64,45863.51
ZNF296,0,230,32,119,2,103,192,314,50,38,101,239,67,19,339,40,41,96,67,72,156,101,170,217,152,83
IFIT3,68,3909.7,4647.92,7874.83,2676,3107,1499,7300,2829,1775,3732,1319,2819,1266,20452.96,3827,3333,2974,3630,3051,2758,5960,4874,2385,3632,5714
CCNH,0,2580.7,1302.7,2394.91,2672.73,1548.58,589.93,1678.21,688.62,1782.59,2168.92,700.05,1665.15,1575.86,1699.02,675.93,1212.29,1429.07,1271.15,834.65,1485.96,1387.15,1733.44,818.82,2187.48,1226.84
HPSE2,0,8,41,142,5,23,86,7,2,5,62,1,7,3,19,14,102,159,95,147,196,81,405,94,55,289
OXNAD1,0,1138,431,898,1116,727,374,664,356,769,1009,521,621,737,1074,232,339,402,337,364,471,539,626,393,629,490
RPS6KA4,0,5814,3896,5397,820,1615,1630,6810,2273,3565,3247,891,1431,2621,3363,1009,2339,2871,2155,2082,3875,2500,3360,2061,2950,2994
ARL5B,1,6605,2207,3421,3891,1773,754,3801,2210,1319,1931,2300,1859,1749,4637,790,1629,1709,4025,1057,1709,1946,2626,909,2040,2043
CDC42EP3,0,15125.49,6473.81,8012.92,1611,2895.53,2073.83,11086.45,4097,4766.82,4013,3543.95,3328.94,2852.56,2263,1670,2098.93,5278.94,2469.91,3369.97,5598.33,4861.91,6178,2469.89,3991,4774.93
TMEM176A,0,9490,6964,5954,3474,5738,2831,6472,1321,2426,10787,1486.83,11589,962,2418,1734,3465,4001,2826,3665,3443,1593,3407,2830,1653,3789
MILR1,0,305,149,242,269,255,67,184,82,352,142,93,176,246,167,77,132,94,110,70,154,159,137,79,135,54
AP1G2,0,5716.98,2226.35,5092.61,1308.14,3296.25,2721.04,4817.94,1355,2556.85,5070.45,615.55,2731.33,1262.33,5583.39,406.56,731.92,2123.16,1583.86,1680.32,1688.98,1944.33,2639.99,1841.7,2386.07,1983.47
OR2C3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC2,0,2097.02,1837.32,2339.24,483.01,1015.77,1185.61,1606.67,438.39,2090.91,1370.04,552.02,1174.75,1034.42,5077.48,383.75,711.32,1581.64,906.15,1083.74,1038.8,1216.05,1281.98,916.13,1050.15,1661.11
WHAMM,2,1162.82,346.89,1706.36,444.56,779.62,493,767.88,294.93,572.47,1319.26,241,805.26,342.83,542.7,298.98,323,916.48,548.64,691.78,882.85,721.67,1033.91,765.84,879.74,1080.55
TUBA3C,0,256.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOSTRIN,0,744,441,1842,286,1011,310,210,81,206,4157,84,257,186,423,927,1486,2006,1119,1275,743,2043,2216,926,1733,3152
CTU2,0,1550,1027,1104,444,550,625,1376,499,988,1109,1132,969,745,1965,257,587,692,401,407,687,860,599,462,643,676
GJB7,0,2,5,4,8,20,5,1,2,141,3,91,0,118,2,0,3,11,1,14,2,45,28,7,57,38
TTC9C,0,1965,854,1179,1093,1300,571,1590,581,1143,1334,725,1099,758,1579,344,586,574,425,544,593,709,636,541,828,846
ADHFE1,0,199.96,84.86,529.94,61,329.96,115,129,43,44,514,52,171.78,33,140,144,94,330.92,319.98,318,192,462,417,215,420.87,353
DBF4B,0,1162,164,548,63,265,298,760,159,607,227,275,202,269,803,61,74,127,167,197,178,143,227,230,169,207
MYO5C,5,9228.55,959.23,8920.33,3487.47,1634.34,1092.72,1707.36,1072.04,2855.64,8970.41,601.49,2682.04,2955.01,2211.29,897.35,859.63,4654.34,3288.15,3434.92,3603.5,2086.83,4341.17,2154.24,2681.34,5235.57
PFN4,0,45,10,20,5,24,9,51,20,20,55,29,12,8,18,7,9,13,10,5,9,10,11,17,21,17
ZNF514,2,1081,263,1162,665,482,717,900,552,662,829,287,464,610,660,99,135,348,322,506,279,231,411,458,339,627
AC106017.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36
CACFD1,0,2273,2743,4330,228,1079,1145,1117,340,1633,4042,687,1149,703,954,955,1852,3462,2614,2270,2585,3801,2473,2157,2823,2988
G6PC,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,6,0,1,1,0,9,0,0,3,2
LAYN,0,1200,2335,1126,972,1703,492,1474,507,735,584,417,1070,478,3260,181,1358,1345,730,1035,423,779,1246,348,646,1333
CXCR5,0,130.44,5.18,23.65,7.08,352.61,1177.71,37.59,19.52,13.67,667.04,24.22,32.54,3.22,96.24,22.46,0,32.76,13.17,11.05,44.31,42.66,102.04,3013.48,26.42,15.75
AL137026.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHX38,0,5683.05,3708.58,6037.8,2236.46,1216.75,1781.59,6969.96,2832.02,4636.38,4444.48,842.11,3372,3465.83,3001.42,977.34,1549.31,4277.41,3176.91,3239,3836.7,3075.12,5361.75,2439.95,2684.92,5463.65
SCN8A,0,24,100.73,44.98,312.95,31.9,105.37,248.93,126.83,12.04,680.53,22.96,251.54,17.1,7.41,3.12,8.33,23.54,12.74,31.67,13.15,11.11,21.18,21.86,15.95,20.49
ZC3H15,0,6916,3741,5053,3695,3426,2074,6393,2145,5278,6456,3218,3858,3352,5185,1514,2481,2472,1767,1775,2777,2726,3076,1546,3574,2768
IGFBP2,0,2513,14386,3802,2855,10900,16024,3465,1200,39372,21150,426,5108,25741,1272,599,10538,4994,3760,4796,2512,4680,5969,3305,5333,8108
FCAMR,0,13,13,6,2,44,168,7,10,7,34,15,8,4,9,1,2,10,3,1,5,11,33,517,2,3
