Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
SAMD9L,1,6995,1406,5362,5920,2045,1815,7187,3610,2929,859,466,3010,2985,4443,1367,1406,3042,2481,2586,2353,2433,4936,1860,2170,2833
WFDC2,0,19314,23710,17764,3357,49845,13872,5037,906,13391,48455,3969,18832,3719,17140,4246,4150,7394,3672,3408,6491,10292,6164,5041,17294,4955
AP001579.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HSD17B3,0,6,0,8,2,13,6,3,4,6,9,0,6,0,13,1,0,9,6,6,5,7,4,2,9,11
FAM214B,0,2808,1153,3528,692,870,476,2977,866,1768,1575,512,1914,780,1902,500,1202,1620,1368,1558,2412,1957,2430,1167,3476,2198
ZC3HAV1,32,4661,2569,5046,2752,1706,1708,4954,3029,2777,4823,1020,1815,3366,5463,1540,1237,3420,3090,3203,4238,2236,4676,2726,2332,5365
PARK7,0,16009,12261,13660,4959,11252,7503,9845,2943,9312,22112,8852,8045,5349,10183,4850,8910,8502,5575,5138,6544,9536,7931,5821,10236,8781
CNOT6L,4,4878.19,2942.63,4256.23,3254.51,2604.35,2226.41,4145.83,2255.16,2717.89,3138.66,1223.82,2133.02,3021.3,2006.03,1453.79,1690,3309.62,2188.84,2283.22,2797.69,2779.33,6222.36,2218.32,2586.4,3734.03
SEMA4D,0,5848.63,784,3216,901,2414,2803,8308,2617,3126,2910,783,1527,1889,1659,626,770,2268,2183,2097,2900,1478,4553,3451,1702,2039
AC024580.1,0,29,3,61,0,24,19,5,2,15,25,1,17,3,4,1,1,24,8,13,5,6,18,7,3,19
OR12D2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
