"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC19A3",459.644528993068,-3.69769804919481,0.373636763807795,-9.89650486079302,4.31077641374088e-23,2.74550270665147e-20
"NCKAP5",784.020460357121,-3.83099098423826,0.387380043658069,-9.88948978388723,4.62378420312899e-23,2.84330840325515e-20
"TEK",1772.78435050965,-2.95618664612699,0.300518901247784,-9.83694081754128,7.80479837980649e-23,4.4897732099061e-20
"PYCR1",2753.818498952,2.77219428121727,0.281771998326373,9.83843070881113,7.69009526252045e-23,4.4897732099061e-20
"PLEKHN1",138.251291154019,3.0943666366632,0.314951989304953,9.82488360683785,8.79755992420288e-23,4.90271519150968e-20
"EPAS1",39996.9575231696,-2.82381807523901,0.28784760876722,-9.8101147594476,1.01852661250867e-22,5.50405608511125e-20
"MYOC",87.9543137997609,-5.38214448142959,0.549107578505972,-9.80162119793262,1.10792938538948e-22,5.81108962636782e-20
"GPA33",400.704410606704,-4.70973131582659,0.484157553404727,-9.72768323597656,2.29766246080937e-22,1.17069184753182e-19
"FGFBP2",80.5023018044649,-4.21987916309904,0.435106453529037,-9.69849821548884,3.05968872404969e-22,1.51565080599939e-19
"MMP13",737.350330747834,7.53869768519165,0.778074614335293,9.68891356471248,3.36084596454033e-22,1.61983692123372e-19
"LYPD1",630.847951682316,4.52700078088066,0.467461769236331,9.68421607669905,3.51897714268076e-22,1.65141893119542e-19
"HMGB3",5109.90949068993,2.97835441475233,0.307684875183881,9.67988567189849,3.67126303351465e-22,1.67870855581197e-19
"XDH",1919.63182586015,6.06907424141896,0.627509029371276,9.67169229022854,3.97745745514739e-22,1.77324996994108e-19
"CA9",952.613371248095,7.60495468356571,0.789134552617302,9.63708236870702,5.57499919086583e-22,2.4248526968466e-19
"SLC6A4",2396.93528044935,-7.26010495017206,0.756497411105605,-9.59699906911985,8.23058616973367e-22,3.49466769440144e-19
"RADIL",276.014217664788,-3.40816246530959,0.356145812703747,-9.56957050663013,1.07350694920493e-21,4.45205800585383e-19
"ANGPT4",50.7238999722558,-4.61146490424561,0.48308833560197,-9.54580055943459,1.35060386872748e-21,5.47393608886753e-19
"HTR3C",35.5515044565327,-6.26902857124985,0.657177664954708,-9.53932080403541,1.43770794939558e-21,5.69747685812696e-19
"SMAD6",993.668064949164,-3.51351207670365,0.368969098944781,-9.52251038569891,1.69045165812827e-21,6.55344009117423e-19
"FAM189A2",1427.61251513521,-3.85535244831225,0.405995049473777,-9.49605778028401,2.17986833501231e-21,8.27097702516478e-19
"TMPRSS4",4972.13975582049,5.2874502830031,0.557658895142897,9.48151339296438,2.50621475876658e-21,9.31110995689258e-19
"SGCG",80.6461099474968,-4.05840417412285,0.430080063841968,-9.43639223327055,3.85835747367261e-21,1.40420589444906e-18
"CAV2",8432.03627850727,-1.70650939367503,0.181768962350054,-9.38834315612477,6.09514660107418e-21,2.17389498673912e-18
"RHBDL2",197.334217177232,2.60273292253544,0.277938554938764,9.36441841654131,7.64702654725301e-21,2.67391028268947e-18
"RGCC",8195.11214732716,-3.1199420192236,0.333302473763736,-9.36069265851055,7.92156544471544e-21,2.71663993414636e-18
"MMP1",3608.29720722746,5.41909006829727,0.579709980079736,9.34793302601398,8.93772375872019e-21,3.00729109036334e-18
"CSRNP1",6043.58663976928,-2.85409963946816,0.305711326151775,-9.33593032157138,1.00108181433041e-20,3.30597999906558e-18
"ANLN",1392.48184237167,3.89078429792181,0.418296911967673,9.30148941243559,1.38491859835688e-20,4.49040970263604e-18
"STX1A",494.035005130771,3.32679877995955,0.358873735757557,9.27010936851344,1.85955149646604e-20,5.92167532794264e-18
"ABCG1",3322.33644913609,-1.86581042045052,0.201502300407475,-9.25949935399,2.05392990063091e-20,6.42591788034228e-18
"IGSF9",385.413036593805,2.84706488004357,0.310222122831429,9.17750434449393,4.41197666303971e-20,1.3565306867584e-17
"MYZAP",876.280672272498,-3.11401881623986,0.339872088484344,-9.16232583301202,5.07906155149338e-20,1.53106175912801e-17
"ABCA12",331.513613556406,6.47946234600926,0.707303003611972,9.1608014004192,5.15133211168511e-20,1.53106175912801e-17
"EDNRB",2813.92337287105,-3.2462778517388,0.354817766304627,-9.14914122127618,5.73879277704875e-20,1.67770314087066e-17
"CYP24A1",1152.74477624118,5.82049086105798,0.638782658176783,9.11184858660825,8.09900254386651e-20,2.32950826394793e-17
"CNTD2",233.059220711998,6.39665933813961,0.70267027914697,9.10335832889509,8.75808958798684e-20,2.47909542258046e-17
"GRK5",2128.8652327802,-2.61682879175569,0.28752626217189,-9.10118182592756,8.9354148753318e-20,2.48976958549675e-17
"GOLM1",6003.65147899977,2.34276838829574,0.257592556827498,9.09486057030995,9.47079106200065e-20,2.59834795397935e-17
"S1PR1",3507.82113518712,-2.57404211911772,0.283707104023649,-9.07288567191871,1.159058779227e-19,3.13174169847805e-17
"MAP7D2",193.150603876697,4.11643355527424,0.455869529949802,9.02985017605261,1.71906995165982e-19,4.57554842506711e-17
"SOX17",288.292535439393,-3.09931795358034,0.345146992171792,-8.97970436908137,2.71495254885203e-19,7.11996305936444e-17
"ZYG11A",92.0008896569208,6.34328588973421,0.707742935407281,8.96269757335533,3.16830627043629e-19,8.1884645972015e-17
"ACVRL1",4617.7979718621,-2.34238934613728,0.261607579311958,-8.95382829617512,3.43362744059906e-19,8.74741116402901e-17
"ITPKA",622.403739622438,5.73431835298116,0.6414304390426,8.93989122427711,3.89553631452307e-19,9.78438015449154e-17
"C6orf141",140.249536900552,3.22081483867012,0.361490047196925,8.90982992103112,5.11109090454491e-19,1.26591783473263e-16
"AKR1B15",141.027548328958,6.97761306395531,0.785096798913041,8.88758312811331,6.24524930117994e-19,1.525637408054e-16
"GRASP",865.957242879622,-2.45621832335107,0.27822016181855,-8.82832612595836,1.06253860374272e-18,2.56057444872214e-16
"SRPX2",1429.5980921922,2.88609899778078,0.326982334237166,8.8264676576914,1.08033571374285e-18,2.56875023775682e-16
"GALNT14",652.503634675168,3.82049689805577,0.433422939262191,8.81470857209206,1.19996786355205e-18,2.81566143562155e-16
"HSPA12B",701.059104362634,-2.76133967076534,0.313459741537218,-8.80923227086076,1.26005853794037e-18,2.91826284507671e-16
"VIPR1",2100.62178188449,-4.09278317861617,0.464861885994486,-8.80429930249157,1.3167258220597e-18,3.01040661343469e-16
"RBP4",741.073669854063,-3.68860844896583,0.421379621991972,-8.75364696453238,2.06566587977048e-18,4.61845170777577e-16
"SYT12",537.406220780779,5.86795849628523,0.67037032817629,8.75330880507305,2.07186752998408e-18,4.61845170777577e-16
"PAEP",2416.00999515987,8.06298675032039,0.928571144575127,8.68321915603963,3.84722096925764e-18,8.4700606845397e-16
"ANKRD34B",95.6650164337787,5.7263597627253,0.660384274337863,8.67125397325195,4.27387235848603e-18,9.29462997181481e-16
"CDH3",6624.62284626737,3.83464959879704,0.442338523977659,8.66903828387942,4.35785432841303e-18,9.36308629380598e-16
"ARHGEF26",1280.91948713647,-3.00318174619504,0.346538023427457,-8.66624019059113,4.46624236795696e-18,9.48172620806863e-16
"TCF21",1840.25415390314,-3.54979159501259,0.410890453392907,-8.63926520000737,5.65757098281411e-18,1.1869583921944e-15
"CCDC85A",275.117250917142,-3.39472133241607,0.393190241662365,-8.63378836174459,5.93527694115418e-18,1.23074178711166e-15
"RASIP1",1096.77830435186,-2.89417898838496,0.335519304555092,-8.6259686077459,6.35524526216447e-18,1.30267918115148e-15
